Date,Close,High,Low,Open,Volume
2024-12-10,52335.70703125,52820.29691116898,52044.95310329861,52820.29691116898,20783970
2024-12-11,52335.70703125,52529.542983217594,51754.199175347225,51948.03512731482,14565947
2024-12-12,54177.15625,54758.66418828265,52238.79645572451,52335.71444543829,33476698
2024-12-13,54370.99609375,54564.832086954106,53789.488114137705,54080.242103943856,15908823
2024-12-16,53886.39453125,54855.5742890063,53498.72262814748,54564.820361679405,15277277
2024-12-17,52529.54296875,53498.72272832103,52335.70701683579,53014.13284853552,20215230
2024-12-18,53207.97265625,53692.5625711521,52335.71080942623,52432.62879240665,13698937
2024-12-19,51463.44921875,52141.87510298964,51463.44921875,51851.12115260122,22481925
2024-12-20,51366.53125,51463.449233490566,50300.43343160377,51075.7772995283,24674774
2024-12-23,51851.11328125,52335.703125,51657.27734375,51754.1953125,13672650
2024-12-24,52723.3828125,52820.30079561121,51948.038947610294,52044.956930721506,11634677
2024-12-26,51948.03515625,52917.214916627796,51851.11718021222,52820.29694059002,10517075
2024-12-27,52399.83203125,52790.147353642926,51911.93787825885,52204.67437005354,10747196
2024-12-30,51911.93359375,52692.564174107145,51814.35477120536,52009.512416294645,12624702
2025-01-02,52107.09375,52302.25140449438,51033.7266502809,51424.04195926966,16630538
2025-01-03,53082.87890625,53765.930656881894,51521.617761948524,51521.617761948524,19318046
2025-01-06,54546.56640625,54839.30289859124,52985.30511376342,53082.88394454383,19034284
2025-01-07,54058.671875,55912.66964688628,54058.671875,55424.77549638989,17030235
2025-01-08,55912.66796875,56107.82562309119,53375.61846231457,53473.197289485164,26593553
2025-01-09,54741.7265625,56302.98792613637,54741.7265625,56205.409090909096,24490592
2025-01-10,53961.09375,55132.039726491865,53863.51491862568,54741.72440099458,16059223
2025-01-13,52790.14453125,53668.353959681146,52790.14453125,53278.03865815619,16868600
2025-01-14,52594.98828125,53278.04007711039,52399.83062528989,52887.72476519017,17465926
2025-01-15,52399.83203125,53375.62033723231,52204.67437005354,52790.147353642926,18625025
2025-01-16,52985.30078125,53668.35254086096,52790.14313564687,52887.721958448434,18627298
2025-01-17,52399.83203125,52790.147353642926,51911.93787825885,52497.410861848235,18805344
2025-01-20,52107.09375,52594.987886235955,52009.51492275281,52302.25140449438,11822531
2025-01-21,52204.66796875,52985.29851781542,52009.510331483645,52399.825606016355,13535702
2025-01-22,52985.30078125,53082.879604051566,51814.35490763122,52107.09137603591,18341991
2025-01-23,52399.83203125,52790.147353642926,52204.67437005354,52399.83203125,15588067
2025-01-24,52399.83203125,52497.410861848235,51911.93787825885,52302.25320065177,11867631
2025-01-31,51131.30078125,51716.773690958966,50448.2490532562,50936.14314468034,42186279
2025-02-03,49765.19921875,50155.51450674019,49570.0415747549,49862.778040747544,32344897
2025-02-04,51424.0390625,52302.248458254275,50253.09320149431,50350.672023244784,27214851
2025-02-05,51619.19921875,52497.40865725426,51521.620392249526,52302.25100425331,15974885
2025-02-06,52692.56640625,52692.56640625,51911.93579282407,52107.09344618055,16466025
2025-02-07,52399.83203125,52887.72618424115,52302.25320065177,52594.98969244646,14476866
2025-02-10,54253.82421875,54546.56068036196,51619.19606424236,51716.774884779676,27577591
2025-02-11,54351.40625,54936.879207809696,53668.35446588869,54156.24859739676,24596196
2025-02-12,54448.984375,54546.5632000448,53180.459649417564,53765.93259968638,26428596
2025-02-13,54448.984375,55034.45732526881,54253.826724910396,54741.72085013441,22448377
2025-02-14,54644.140625,55912.66531808036,54644.140625,54644.140625,23979779
2025-02-17,54644.140625,55132.03473772322,54351.40415736607,54741.719447544645,11916027
2025-02-18,55522.359375,55815.09589191564,54546.57098528119,54839.30750219683,22131007
2025-02-19,57278.76953125,57473.92717871593,55912.6659989885,56010.24482272146,25395151
2025-02-20,56986.03125,57669.08299443493,56693.294788099316,57669.08299443493,21589059
2025-02-21,56790.875,57083.611469072166,55717.50794673539,56986.03264604811,22198428
2025-02-24,55912.66796875,56302.98327743237,55815.0891415794,55912.66796875,14138471
2025-02-25,55815.0859375,56400.55886691433,55132.034186516605,55229.61300808566,14625181
2025-02-26,55229.61328125,55717.50739150839,54741.71917099161,55619.928569456715,18117091
